Nawisko aktualne,Liczba
NOWAK,143838
KOWALSKA,93009
WIŚNIEWSKA,73424
WÓJCIK,66176
KOWALCZYK,65021
KAMIŃSKA,63427
LEWANDOWSKA,63093
DĄBROWSKA,61775
ZIELIŃSKA,61216
SZYMAŃSKA,59811
WOŹNIAK,58989
KOZŁOWSKA,50754
MAZUR,46551
JANKOWSKA,45990
KWIATKOWSKA,44908
WOJCIECHOWSKA,44807
KRAWCZYK,42797
KACZMAREK,41471
PIOTROWSKA,41411
GRABOWSKA,39033
PAWŁOWSKA,37362
MICHALSKA,36873
ZAJĄC,36244
KRÓL,36112
NOWAKOWSKA,35288
WIECZOREK,34222
JABŁOŃSKA,33621
MAJEWSKA,33295
WRÓBEL,33274
ADAMCZYK,33178
DUDEK,32466
NOWICKA,32362
OLSZEWSKA,31991
JAWORSKA,31771
MALINOWSKA,31572
STĘPIEŃ,31127
GÓRSKA,30403
WITKOWSKA,30105
PAWLAK,30094
WALCZAK,29458
SIKORA,29434
RUTKOWSKA,29252
MICHALAK,28661
SZEWCZYK,28293
OSTROWSKA,28252
BARAN,28127
TOMASZEWSKA,27085
PIETRZAK,26336
ZALEWSKA,26058
WRÓBLEWSKA,25991
DUDA,25839
MARCINIAK,25830
JASIŃSKA,25769
JAKUBOWSKA,25433
ZAWADZKA,25351
SADOWSKA,25244
WŁODARCZYK,24016
CHMIELEWSKA,23864
BĄK,23782
BORKOWSKA,23727
WILK,23432
SOKOŁOWSKA,23243
SZCZEPAŃSKA,22767
SAWICKA,22741
KUCHARSKA,22220
LIS,22148
KUBIAK,21681
MACIEJEWSKA,21676
KALINOWSKA,21587
CZARNECKA,21561
MAZUREK,21479
WYSOCKA,21401
URBAŃSKA,20491
KOŁODZIEJ,20468
KAŹMIERCZAK,20170
SOBCZAK,19058
GŁOWACKA,19018
SIKORSKA,18956
KRAJEWSKA,18839
ZAKRZEWSKA,18812
KRUPA,18736
ADAMSKA,18601
WASILEWSKA,18551
GAJEWSKA,18361
ZIÓŁKOWSKA,18281
LASKOWSKA,18228
MAKOWSKA,18126
SZULC,18025
KOZAK,17920
CZERWIŃSKA,17812
SZYMCZAK,17795
MRÓZ,17776
PRZYBYLSKA,17765
BRZEZIŃSKA,17746
BARANOWSKA,17731
ANDRZEJEWSKA,17606
BŁASZCZYK,17571
KACZMARCZYK,17561
BOROWSKA,17305
CIEŚLAK,17191
GÓRECKA,17098
CHOJNACKA,17014
LESZCZYŃSKA,16891
KANIA,16880
SZCZEPANIAK,16843
LIPIŃSKA,16792
WESOŁOWSKA,16779
JANIK,16753
MIKOŁAJCZYK,16481
KOWALEWSKA,16458
DOMAŃSKA,16353
MUCHA,16353
KONIECZNA,16309
NOWACKA,16054
JAROSZ,15948
KOZIOŁ,15947
KOWALIK,15793
MARKOWSKA,15786
KOŁODZIEJCZYK,15744
ZIĘBA,15678
CIESIELSKA,15654
MUSIAŁ,15555
BRZOZOWSKA,15484
ORŁOWSKA,15148
TOMCZYK,15044
MARKIEWICZ,15008
KUREK,14985
TOMCZAK,14967
PAWLIK,14905
PIĄTEK,14902
ŻAK,14843
KOPEĆ,14807
KOT,14794
WAWRZYNIAK,14727
KRUK,14643
CZAJKOWSKA,14612
URBANIAK,14596
WOLSKA,14550
POLAK,14487
STANKIEWICZ,14425
WÓJTOWICZ,14290
NAWROCKA,14279
JASTRZĘBSKA,14011
STASIAK,13876
ŁUCZAK,13858
WIERZBICKA,13825
DZIEDZIC,13795
SOWA,13756
KARPIŃSKA,13716
PIASECKA,13663
BEDNAREK,13440
KLIMEK,13311
GAJDA,13246
JANICKA,13240
BIELECKA,13197
STEFAŃSKA,13190
SOSNOWSKA,13162
URBAN,13089
DOBROWOLSKA,12973
MILEWSKA,12943
JÓŹWIAK,12853
MAJCHRZAK,12798
MADEJ,12731
MAJ,12613
MAŁECKA,12562
LEŚNIAK,12521
ŚLIWIŃSKA,12501
DOMAGAŁA,12452
KOWAL,12405
SOCHA,12320
MAREK,12153
SKIBA,12147
BEDNARCZYK,12076
ROMANOWSKA,11968
WRONA,11892
MATUSZEWSKA,11864
WILCZYŃSKA,11859
RATAJCZAK,11767
MICHALIK,11765
OLEJNICZAK,11758
KASPRZAK,11753
PAJĄK,11550
ŚWIĄTEK,11505
OWCZAREK,11497
ORZECHOWSKA,11491
KUROWSKA,11430
SOBOLEWSKA,11407
RYBAK,11398
MAZURKIEWICZ,11353
BUKOWSKA,11256
GRZELAK,11254
ROGOWSKA,11194
OLEJNIK,11171
KĘDZIERSKA,11148
BARAŃSKA,11143
ŁUKASIK,11133
MATUSIAK,11086
KOSIŃSKA,11022
SKOWROŃSKA,10869
MARCINKOWSKA,10854
BEDNARSKA,10789
SOBCZYK,10712
JANISZEWSKA,10680
LISOWSKA,10642
CHRZANOWSKA,10620
MARSZAŁEK,10593
SROKA,10541
ŚWIDERSKA,10521
MORAWSKA,10470
ZYCH,10470
CZAJKA,10457
KOZIEŁ,10419
MUSZYŃSKA,10378
KUCZYŃSKA,10365
BEDNARZ,10309
CZECH,10282
KASPRZYK,10275
GRZYBOWSKA,10215
OSIŃSKA,10192
CHMIEL,10160
KWIECIEŃ,10151
MARCZAK,10143
JĘDRZEJEWSKA,10126
BIAŁEK,10115
MAŁEK,10109
PLUTA,10098
KRZEMIŃSKA,10025
WITEK,10017
DĘBSKA,10000
CZAJA,9993
KUBICKA,9968
TUREK,9963
MICHAŁOWSKA,9952
ŻUKOWSKA,9940
PALUCH,9917
MARZEC,9916
PIEKARSKA,9897
JANOWSKA,9855
CIEŚLIK,9841
BIERNACKA,9684
STEFANIAK,9661
SZYDŁOWSKA,9659
KACZOR,9657
PRZYBYSZ,9608
STANISZEWSKA,9601
LEWICKA,9569
RUDNICKA,9549
LECH,9538
GOŁĘBIEWSKA,9533
POPŁAWSKA,9506
ŚLIWA,9480
AUGUSTYNIAK,9429
KACPRZAK,9413
NIEMIEC,9397
MURAWSKA,9395
SMOLIŃSKA,9379
PODGÓRSKA,9352
KULESZA,9345
PIĄTKOWSKA,9338
KUJAWA,9298
SERAFIN,9293
CZYŻ,9292
STACHOWIAK,9289
RAK,9275
GÓRA,9266
SOWIŃSKA,9253
PIETRZYK,9232
GOŁĘBIOWSKA,9185
ŻUREK,9129
DROZD,9111
MATYSIAK,9091
BANACH,9075
KARCZEWSKA,9058
ROSIŃSKA,9045
KLIMCZAK,8952
BANAŚ,8924
GODLEWSKA,8913
KOMOROWSKA,8893
CYBULSKA,8887
ŻURAWSKA,8873
BIENIEK,8829
ZAWADA,8785
SZCZĘSNA,8735
GRUSZKA,8719
SKRZYPCZAK,8719
CICHOCKA,8703
GROCHOWSKA,8700
PRZYBYŁA,8658
KULIK,8564
RÓŻAŃSKA,8558
KUŚ,8516
WINIARSKA,8494
GÓRKA,8479
CICHOŃ,8471
NIEWIADOMSKA,8465
KRZYŻANOWSKA,8372
KRAWIEC,8368
ZAREMBA,8356
PANEK,8347
MIELCZAREK,8342
LEŚNIEWSKA,8318
SIWEK,8295
PTAK,8285
KONOPKA,8266
