Nawisko aktualne,Liczba
NOWAK,147672
KOWALSKI,95511
WIŚNIEWSKI,75139
WÓJCIK,67966
KOWALCZYK,66872
KAMIŃSKI,64651
LEWANDOWSKI,63462
ZIELIŃSKI,62421
DĄBROWSKI,62293
SZYMAŃSKI,60804
WOŹNIAK,60774
KOZŁOWSKI,51776
MAZUR,47626
JANKOWSKI,47054
KWIATKOWSKI,45189
WOJCIECHOWSKI,45119
KRAWCZYK,43466
KACZMAREK,42451
PIOTROWSKI,41795
GRABOWSKI,39721
ZAJĄC,38095
PAWŁOWSKI,37896
MICHALSKI,37315
KRÓL,37062
NOWAKOWSKI,35811
WRÓBEL,34711
WIECZOREK,34608
JABŁOŃSKI,34132
DUDEK,33812
ADAMCZYK,33731
MAJEWSKI,33585
NOWICKI,32692
OLSZEWSKI,32651
STĘPIEŃ,32312
MALINOWSKI,32157
JAWORSKI,32078
PAWLAK,31342
GÓRSKI,30717
SIKORA,30405
WITKOWSKI,30354
WALCZAK,30173
BARAN,29889
RUTKOWSKI,29851
MICHALAK,29174
SZEWCZYK,28834
OSTROWSKI,28487
TOMASZEWSKI,27257
DUDA,26923
ZALEWSKI,26793
PIETRZAK,26731
WRÓBLEWSKI,26351
JASIŃSKI,26108
MARCINIAK,25981
ZAWADZKI,25677
SADOWSKI,25663
BĄK,25592
JAKUBOWSKI,25490
WILK,24484
CHMIELEWSKI,24293
WŁODARCZYK,24234
BORKOWSKI,23834
SOKOŁOWSKI,23316
SZCZEPAŃSKI,23198
SAWICKI,23189
LIS,22969
KUCHARSKI,22581
MAZUREK,21967
KUBIAK,21920
KALINOWSKI,21875
WYSOCKI,21817
MACIEJEWSKI,21757
CZARNECKI,21645
KOŁODZIEJ,20900
KAŹMIERCZAK,20733
URBAŃSKI,20637
SOBCZAK,19813
KONIECZNY,19553
GŁOWACKI,19306
KRUPA,19293
WASILEWSKI,19091
ZAKRZEWSKI,19034
KRAJEWSKI,18958
SIKORSKI,18742
ADAMSKI,18740
MRÓZ,18664
LASKOWSKI,18538
GAJEWSKI,18505
ZIÓŁKOWSKI,18471
KOZAK,18431
SZULC,18375
MAKOWSKI,18372
BARANOWSKI,18179
SZYMCZAK,18054
KACZMARCZYK,18013
BRZEZIŃSKI,17993
CZERWIŃSKI,17977
PRZYBYLSKI,17975
BŁASZCZYK,17805
ANDRZEJEWSKI,17793
BOROWSKI,17765
CIEŚLAK,17649
KANIA,17539
CHOJNACKI,17422
GÓRECKI,17410
SZCZEPANIAK,17341
JANIK,17327
LIPIŃSKI,16980
LESZCZYŃSKI,16976
MUCHA,16973
KOZIOŁ,16879
WESOŁOWSKI,16836
KOWALEWSKI,16785
MIKOŁAJCZYK,16692
NOWACKI,16546
DOMAŃSKI,16517
JAROSZ,16234
CIESIELSKI,16198
KOWALIK,16167
ZIĘBA,16160
MUSIAŁ,16158
KOŁODZIEJCZYK,15947
MARKOWSKI,15867
KOPEĆ,15725
BRZOZOWSKI,15700
PIĄTEK,15548
KUREK,15515
ŻAK,15426
ORŁOWSKI,15368
KOT,15344
TOMCZYK,15326
PAWLIK,15316
TOMCZAK,15302
URBANIAK,15031
WAWRZYNIAK,14996
KRUK,14938
WÓJTOWICZ,14893
MARKIEWICZ,14882
WOLSKI,14752
POLAK,14652
CZAJKOWSKI,14598
STASIAK,14495
NAWROCKI,14445
SOWA,14430
STANKIEWICZ,14231
ŁUCZAK,14144
JASTRZĘBSKI,14143
KARPIŃSKI,14128
DZIEDZIC,13920
WIERZBICKI,13900
PIASECKI,13811
GAJDA,13635
KLIMEK,13609
BEDNAREK,13557
URBAN,13441
STEFAŃSKI,13394
JANICKI,13302
JÓŹWIAK,13257
BIELECKI,13249
DOMAGAŁA,13185
MADEJ,13118
SOSNOWSKI,13115
MAJCHRZAK,13072
MAJ,13000
MILEWSKI,12963
DOBROWOLSKI,12913
MAŁECKI,12870
KOWAL,12816
SKIBA,12800
LEŚNIAK,12779
ŚLIWIŃSKI,12709
SOCHA,12582
MAREK,12504
BEDNARCZYK,12385
WRONA,12286
KASPRZAK,12209
PAJĄK,12102
MATUSZEWSKI,12078
OLEJNICZAK,12039
RATAJCZAK,11873
WILCZYŃSKI,11871
ROMANOWSKI,11817
MICHALIK,11788
ŚWIĄTEK,11787
OWCZAREK,11728
ORZECHOWSKI,11700
KUROWSKI,11698
GRZELAK,11668
OLEJNIK,11575
RYBAK,11548
ŁUKASIK,11528
SOBOLEWSKI,11359
BUKOWSKI,11352
ROGOWSKI,11345
MAZURKIEWICZ,11343
SROKA,11270
KĘDZIERSKI,11264
MATUSIAK,11247
KOSIŃSKI,11210
BARAŃSKI,11194
CZAJKA,11070
SOBCZYK,11000
KOZIEŁ,10983
MARSZAŁEK,10953
MARCINKOWSKI,10951
ZYCH,10945
SKOWROŃSKI,10923
CHRZANOWSKI,10850
LISOWSKI,10773
BEDNARSKI,10771
BEDNARZ,10701
KASPRZYK,10645
ŚWIDERSKI,10643
PLUTA,10640
JANISZEWSKI,10626
KWIECIEŃ,10558
BIAŁEK,10531
MARCZAK,10522
KUCZYŃSKI,10514
MUSZYŃSKI,10511
JĘDRZEJEWSKI,10442
WITEK,10422
MORAWSKI,10415
PALUCH,10414
CZECH,10401
GRZYBOWSKI,10399
TUREK,10379
CZAJA,10350
CHMIEL,10251
ŻUKOWSKI,10247
DĘBSKI,10246
MARZEC,10205
KACZOR,10204
CIEŚLIK,10193
MAŁEK,10124
OSIŃSKI,10114
KUBICKI,10105
PIEKARSKI,10098
SZCZĘSNY,9973
KRZEMIŃSKI,9947
ŚLIWA,9926
JANOWSKI,9871
STEFANIAK,9870
RAK,9843
PRZYBYSZ,9840
BIERNACKI,9833
GOŁĘBIEWSKI,9830
MICHAŁOWSKI,9800
KULESZA,9728
LECH,9726
SZYDŁOWSKI,9688
SMOLIŃSKI,9678
KACPRZAK,9669
LEWICKI,9654
KUJAWA,9629
STANISZEWSKI,9609
CZYŻ,9601
MURAWSKI,9589
NIEMIEC,9569
RUDNICKI,9565
DROZD,9555
AUGUSTYNIAK,9549
GÓRA,9534
BANACH,9521
POPŁAWSKI,9512
PIETRZYK,9511
PIĄTKOWSKI,9455
ŻUREK,9436
SERAFIN,9421
GÓRNY,9348
MATYSIAK,9333
GOŁĘBIOWSKI,9311
SOWIŃSKI,9306
STACHOWIAK,9299
PODGÓRSKI,9282
KARCZEWSKI,9274
BANAŚ,9241
ZAWADA,9221
KLIMCZAK,9168
ŻURAWSKI,9143
ROSIŃSKI,9141
BIENIEK,9047
GÓRKA,9036
CYBULSKI,9023
GODLEWSKI,8971
GRUSZKA,8963
KUŚ,8924
PRZYBYŁA,8840
GROCHOWSKI,8833
SKRZYPCZAK,8832
CICHOŃ,8759
KOMOROWSKI,8754
KRAWIEC,8737
KULIK,8734
CICHOCKI,8730
PTAK,8730
PANEK,8700
GIL,8696
SIWEK,8679
RÓŻAŃSKI,8582
NIEWIADOMSKI,8581
MIELCZAREK,8544
WINIARSKI,8531
KONOPKA,8486
GRACZYK,8467
SŁOWIK,8416
GRZYB,8403
SZCZEPANIK,8393
KRZYŻANOWSKI,8377
KŁOS,8376
ZAREMBA,8376
FILIPIAK,8371
ZARZYCKI,8345
LEŚNIEWSKI,8317
STAŃCZYK,8311
ANTCZAK,8279
TOKARSKI,8250
MŁYNARCZYK,8241
SZYMCZYK,8201
CIEŚLA,8178
MIKOŁAJCZAK,8176
KACZYŃSKI,8158
STRZELECKI,8152
SKOWRON,8123
BUCZEK,8105
MAĆKOWIAK,8093
GĄSIOR,8030
BIERNAT,8015
JUREK,8009
JANUS,8004
SZOSTAK,7990
BARTKOWIAK,7966
SZCZYGIEŁ,7934
JANIAK,7931
BOGUSZ,7909
WĘGRZYN,7900
KULA,7872
GAWRON,7862
KOSTRZEWA,7853
PAŁKA,7848
KALETA,7845
KUCHARCZYK,7837
RAKOWSKI,7825
FRĄCZEK,7824
KSIĄŻEK,7803
DŁUGOSZ,7800
BARTCZAK,7797
KUBIK,7789
BANASIAK,7761
SIENKIEWICZ,7743
RÓŻYCKI,7708
RZEPKA,7693
KRÓLIKOWSKI,7645
BAGIŃSKI,7620
GAWLIK,7599
DOBOSZ,7558
ZARĘBA,7551
MALEC,7532
ROGALSKI,7522
ŻEBROWSKI,7511
TRZCIŃSKI,7509
ROGALA,7489
TKACZYK,7489
WITCZAK,7455
HAJDUK,7410
ROJEK,7395
KISIEL,7385
GAWROŃSKI,7375
GRZEGORCZYK,7337
MIKULSKI,7329
RYBICKI,7317
CICHY,7296
TROJANOWSKI,7281
WOLNY,7271
FRANKOWSKI,7258
MALISZEWSKI,7258
LACH,7178
FRĄCKOWIAK,7177
WĄSIK,7177
NAWROT,7171
RADOMSKI,7170
DUDZIŃSKI,7154
BOREK,7106
KACZOROWSKI,7099
FIJAŁKOWSKI,7062
GRZESIAK,7010
BIAŁAS,7007
MIKA,6998
GAŁĄZKA,6993
ŚLUSARCZYK,6990
STEC,6976
BOGUCKI,6974
LIPSKI,6963
SOKÓŁ,6954
PAWELEC,6951
ZABOROWSKI,6931
WNUK,6928
CZYŻEWSKI,6918
KMIECIK,6891
ROSIAK,6888
WIĘCKOWSKI,6874
WOJTCZAK,6866
WALKOWIAK,6861
KWAŚNIEWSKI,6846
WÓJCICKI,6841
BOCHENEK,6818
DĄBEK,6806
KOŁODZIEJSKI,6724
JANAS,6701
BURZYŃSKI,6697
PIETRAS,6692
DRZEWIECKI,6688
KARWOWSKI,6683
ŻMUDA,6682
ZYGMUNT,6675
KRYSIAK,6674
PASTERNAK,6674
MROCZEK,6667
JUSZCZAK,6664
LASOTA,6664
CEBULA,6601
SKRZYPEK,6589
JĘDRZEJCZYK,6574
WROŃSKI,6568
CYGAN,6565
KARAŚ,6561
MISIAK,6550
FILIPEK,6549
GAWEŁ,6546
DĘBOWSKI,6537
GRUSZCZYŃSKI,6527
DZIUBA,6523
ŁAPIŃSKI,6523
MASŁOWSKI,6504
ŁUKASIEWICZ,6493
BUJAK,6490
FLIS,6487
SZAFRAŃSKI,6480
PIÓRKOWSKI,6479
ZAJĄCZKOWSKI,6460
PIWOWARCZYK,6454
KAŁUŻA,6449
BIELAWSKI,6437
FALKOWSKI,6420
JAGODZIŃSKI,6404
BOROWIEC,6389
JAGIEŁŁO,6384
KRAKOWIAK,6383
JĘDRZEJCZAK,6361
ZIELONKA,6361
CZAPLA,6355
GUTOWSKI,6354
KUBACKI,6348
ŁUKASZEWSKI,6330
KAŁUŻNY,6327
SKIBIŃSKI,6326
LISIECKI,6306
WILCZEK,6284
STELMACH,6270
SOBIERAJ,6263
SOŁTYS,6255
DROZDOWSKI,6219
JAKUBIAK,6217
TARNOWSKI,6214
SZCZEŚNIAK,6211
